Price,Close,High,Low,Open,Volume
Ticker,ENPH,ENPH,ENPH,ENPH,ENPH
Date,,,,,
2021-09-30,149.97000122070312,151.72999572753906,148.0,150.19000244140625,1904500
2021-10-01,155.36000061035156,155.9600067138672,150.55999755859375,152.02000427246094,1612300
2021-10-04,145.02999877929688,153.72000122070312,144.47000122070312,153.5399932861328,2126800
2021-10-05,147.41000366210938,149.72999572753906,144.89999389648438,146.0,1411200
2021-10-06,153.5800018310547,155.85000610351562,143.4499969482422,144.36000061035156,2355600
2021-10-07,157.22999572753906,162.72999572753906,156.0,156.1699981689453,1966300
2021-10-08,154.36000061035156,159.5,153.58999633789062,158.4600067138672,1205100
2021-10-11,161.25999450683594,165.4600067138672,154.75,154.75,2146100
2021-10-12,169.83999633789062,172.10000610351562,162.1199951171875,162.1199951171875,2438500
2021-10-13,173.2100067138672,175.91000366210938,169.82000732421875,171.92999267578125,2118300
2021-10-14,173.77999877929688,176.6300048828125,170.44000244140625,175.60000610351562,1541300
2021-10-15,172.9199981689453,175.9600067138672,171.08999633789062,174.58999633789062,2037800
2021-10-18,179.97000122070312,181.1199951171875,171.27999877929688,171.38999938964844,1900500
2021-10-19,187.05999755859375,190.8699951171875,180.10000610351562,181.0,2834400
2021-10-20,180.10000610351562,187.0,177.33999633789062,186.22999572753906,2250100
2021-10-21,179.8000030517578,184.77999877929688,177.9600067138672,179.47000122070312,2393700
2021-10-22,176.6999969482422,181.47000122070312,174.3300018310547,181.47000122070312,1624100
2021-10-25,179.42999267578125,181.24000549316406,176.9199981689453,178.67999267578125,1367500
2021-10-26,173.4600067138672,183.3800048828125,170.4199981689453,181.6199951171875,2975000
2021-10-27,216.22000122070312,225.39999389648438,204.0399932861328,205.5,15168400
2021-10-28,224.4600067138672,227.58999633789062,210.6699981689453,216.22000122070312,5733400
2021-10-29,231.6300048828125,237.0,225.0,225.0,4171300
2021-11-01,239.52999877929688,239.88999938964844,232.1199951171875,233.0399932861328,2631000
2021-11-02,237.61000061035156,239.02999877929688,228.52999877929688,238.0500030517578,2762900
2021-11-03,236.5800018310547,238.8800048828125,231.07000732421875,234.4499969482422,2158500
2021-11-04,242.60000610351562,243.1199951171875,232.6699981689453,236.69000244140625,2162600
2021-11-05,237.89999389648438,244.8800048828125,234.25999450683594,242.1199951171875,1835500
2021-11-08,241.6199951171875,246.5399932861328,239.0,241.16000366210938,1242700
2021-11-09,239.38999938964844,244.3800048828125,232.55999755859375,243.5500030517578,1214800
2021-11-10,231.47999572753906,237.8300018310547,227.60000610351562,228.72999572753906,1422200
2021-11-11,250.49000549316406,252.0500030517578,235.30999755859375,235.41000366210938,2661100
2021-11-12,251.6199951171875,254.6999969482422,248.19000244140625,251.5,1600600
2021-11-15,244.7100067138672,253.99000549316406,241.61000061035156,253.63999938964844,1715600
2021-11-16,251.58999633789062,253.60000610351562,239.5500030517578,245.3699951171875,2242800
2021-11-17,254.86000061035156,260.55999755859375,250.52000427246094,252.00999450683594,1772100
2021-11-18,254.47999572753906,259.75,249.02000427246094,258.32000732421875,1537400
2021-11-19,267.739990234375,272.0,255.02000427246094,255.8300018310547,2720000
2021-11-22,261.1199951171875,282.4599914550781,260.5799865722656,269.1600036621094,3026700
2021-11-23,250.5,265.260009765625,245.74000549316406,258.0799865722656,2598300
2021-11-24,255.10000610351562,255.9199981689453,242.8699951171875,251.8800048828125,1541800
2021-11-26,247.4199981689453,259.0,243.6199951171875,250.38999938964844,1476200
2021-11-29,256.7099914550781,257.70001220703125,250.0500030517578,253.6300048828125,1513400
