Ticker,N,SameDayCorr,SameDayP,LaggedCorr,LaggedP
TSLA,252,0.36349740015428395,2.742702953639764e-09,0.363988451346957,2.7987514528149404e-09
MSFT,252,0.17151721486610638,0.006343612797719889,0.17145147366152225,0.006470472206481448
PG,252,0.0935873415618199,0.138468002294871,0.0946653564966866,0.13474335824577555
META,219,0.18927289306637074,0.004947972132462786,0.18905544070664132,0.005100409034627829
AMZN,252,0.20523060520563413,0.0010503311786385083,0.2050080452661079,0.0010888988257458099
GOOG,238,0.20502537609223165,0.001471856069320765,0.20488718941293585,0.0015179410011754157
AMD,249,0.1936873299887863,0.0021400100108348585,0.19347467002666333,0.0022102828482273296
AAPL,252,0.22551615241415035,0.00030766647633662103,0.21989264565282646,0.00044909088664879526
NFLX,228,0.377062587578323,4.08464617684956e-09,0.3773560174403055,4.2898493646248426e-09
TSM,252,0.16927813613493636,0.007074609379358998,0.17143187447812372,0.006476662988653681
KO,133,0.2498010894443036,0.0037343498569115674,0.2547958915461827,0.003194630098802831
F,24,0.15795930526585483,0.4610151748882312,0.1484113307507969,0.49915401111327795
COST,157,0.28647589143607266,0.00027541756678117757,0.2846774614541665,0.000315969136549743
DIS,184,0.16665350366412507,0.023757524279021558,0.16646187996842873,0.024312080765898525
VZ,65,0.21078317566886343,0.0919098355771768,0.2065541460169647,0.10150988169741226
CRM,116,0.009045983098682828,0.9232226921577031,0.009401852678301537,0.9205631249966315
INTC,133,0.11860423102594263,0.17392364347895262,0.11665936501642384,0.1828209706309647
BA,153,-0.06625532360002064,0.41581290120519876,-0.06441774348520461,0.4304285070800926
BX,29,0.06816494331685438,0.7253320232072276,0.07346940160611463,0.7102340859767486
NOC,24,0.4582144130095502,0.024334512326450897,0.45478929234185744,0.02923126078189142
PYPL,186,0.17657198183952566,0.015914934507930134,0.17519575319029507,0.017067672236997566
ENPH,87,0.09354435977689066,0.38880001522029817,0.09203832326541125,0.39932378716758343
NIO,252,0.22770883922402735,0.0002676079608867621,0.22890808866349002,0.0002550237175640291
ZS,102,0.03856015565643993,0.7003989463541709,0.03342282295204759,0.7400350315085138
XPEV,93,0.16605759447633173,0.11165255663741269,0.16296182871787568,0.12063865560120357
